"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"67-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265957446808511,0,0.018910741301059,0,0,0,0,0,0,0,0.0178766873403867,0.00493774151996565,0.0226449275362319,0.002050020500205,0.0107411385606874,0.0059328968903437,0,0,0.0110549589387239,0.0054726368159204,0,0,0,0.00113895216400911,0,0,0.0136476426799007,0,0,0,0,0,0,0,0.00693606755126659,0.0078740157480315,0.0110236220472441,0.00521803950801342,0,0,0,0,0.0224935732647815,0,0.00353190487402873,0,0,0,0,0,0,0,0,0,0,0,0.00633036597428289
"A0839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574886535552194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4b",0,0,0,0,0,0,0,0.00190159258378892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264160528321057,0,0,0,0.0145246478873239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0
"AB1",0,0,0,0,0,0,0,0,0,0,0.0050014710208885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abditibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401313389273988,0.00665521683125805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000608180021286301,0,0,0,0,0,0,0,0,0,0.0134620269240538,0.000562429696287964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacteraceae",0,0.00926998841251448,0.0276738967838444,0,0,0,0.0182459050383579,0,0,0,0,0.0066079295154185,0,0,0,0.0101826894279724,0,0,0,0.0305237599722511,0,0,0,0.00857449088960343,0,0,0.013133892739876,0,0,0,0,0.0108428805237316,0,0,0,0.0416252072968491,0.0107430617726052,0,0.033195020746888,0.0111047835990888,0,0,0.00744416873449132,0,0,0,0.0201207243460765,0.0208012326656394,0,0,0,0,0,0,0.0362785254534816,0,0,0,0.0282776349614396,0.0198547215496368,0,0,0,0.0171717171717172,0,0,0,0,0,0,0,0,0
"Acidaminobacteraceae",0,0,0,0,0,0,0,0.00142619443784169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033167495854063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriaceae_Subgroup_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159795461808885,0,0,0.00391113892365457,0,0,0,0,0,0.00438744515693554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085166784953868,0,0,0,0,0,0,0,0,0,0.0140845070422535,0.0321931589537223,0,0,0.00193704600484262,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidothermaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00159795461808885,0,0,0.0101689612015019,0,0,0,0.0153667729776747,0,0,0,0,0,0,0.0133104336625161,0.026268115942029,0,0,0,0,0,0,0.00447761194029851,0,0,0,0,0,0,0.0124069478908189,0,0,0,0,0,0,0,0.0105548854041013,0.00304800609601219,0.00191226096737908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137987012987013,0,0,0
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622406639004149,0,0,0,0,0,0,0,0.0164319248826291,0,0.0040590405904059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinospicaceae",0,0,0,0,0,0,0,0,0.0340285400658617,0.00734363129906305,0.0038246543100912,0.0108296622613803,0,0.00649834878022798,0.00612713811590503,0,0.0170525657071339,0.00310125600868352,0,0.0017343045438779,0.0165265294288199,0.000269808436010433,0,0.000714540907466952,0,0.00411428571428571,0.00693177672382342,0.0143838557320739,0.0223429951690821,0,0,0.0114566284779051,0.020641194554238,0,0,0.00530679933665008,0.00984780662488809,0.00964265456608054,0,0.0133826879271071,0.0188552188552189,0,0.00620347394540943,0.00485159817351598,0.00458142440649729,0.00624556422995032,0,0.0231124807395994,0,0.00274177467597208,0.00241254523522316,0.00762001524003048,0.0101237345331834,0.00782705926202013,0,0,0,0.026984126984127,0,0.039225181598063,0.00376736519896397,0,0,0,0,0,0,0,0,0.0154220779220779,0,0,0.00454995054401583
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00493774151996565,0,0,0,0,0,0,0,0,0,0,0,0,0.0175084175084175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonadaceae",0.0028949146000193,0.00270374662031672,0,0,0,0.0072289156626506,0.00870827285921625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286415711947627,0,0,0,0,0,0,0,0,0,0.00273681009578835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116801437556155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134264232008593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYG1722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392512077294686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYH767",0,0,0,0,0,0,0,0.000831946755407654,0,0,0.00853192115328038,0,0,0,0,0,0,0.000620251201736703,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00850492390331244,0,0,0,0,0,0,0,0,0,0,0.00154083204930663,0.00996309963099631,0,0,0,0.000449943757030371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcaligenaceae",0.00791276657338609,0,0,0,0.00453229258466574,0.00530120481927711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192463351020775,0.00809989875126561,0,0,0,0,0,0,0.004373377067104,0,0.000409165302782324,0,0,0,0,0,0.00207978823974286,0,0,0,0.00456135015964726,0,0,0,0.00127750177430802,0,0,0,0.00299102691924227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillaceae",0,0,0.00897531787584144,0,0,0,0,0.003090087948657,0.00164654226125137,0,0,0.00624082232011747,0,0,0,0.0107816711590297,0.00203379224030038,0.00372150721042022,0,0.025667707249393,0,0,0,0,0,0.0032,0,0.0055817947617003,0.00452898550724638,0,0,0.00490998363338789,0,0,0,0.014759535655058,0.0147717099373321,0.00132350160710909,0,0.00541002277904328,0,0,0,0,0.0183256976259892,0.00369056068133428,0.00435949027498323,0,0.0162361623616236,0,0,0.00508001016002032,0.00179977502812148,0,0,0.0501760563380282,0.0266599597585513,0.030952380952381,0,0.0305084745762712,0,0,0,0.0212121212121212,0,0,0,0,0.00614439324116743,0,0.00573065902578797,0.0673575129533679,0.00613254203758655
"Alteromonadaceae",0,0,0,0,0,0,0,0,0,0,0.00441306266548985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00332125603864734,0,0,0,0,0,0,0,0,0.000567214974475326,0,0,0,0,0,0,0,0,0.00905432595573441,0.0161787365177196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amoebophilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598981731057203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106431503725103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerolineaceae",0,0,0,0,0,0,0.00601285506945884,0,0,0,0,0,0,0,0,0,0,0,0.00408472012102874,0.0183836281651058,0,0,0,0,0,0,0,0,0,0,0.018796992481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164756446991404,0,0
"Anaeromyxobacteraceae",0,0,0,0,0,0,0,0,0,0.00709040263357812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00580431177446103,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aneurinibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457200914401829,0,0,0,0,0.0437625754527163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124352331606218,0
"Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203319502074689,0,0,0,0,0,0,0,0,0,0.0232472324723247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillaceae",0.000675480073337837,0,0.0087260034904014,0,0,0,0,0,0,0,0,0,0,0.00436774262277618,0.00816951748787337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014194464158978,0,0.0138674884437596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00974025974025974,0,0,0
